#EXPORTTYPE:DATA ALL
#FILE:VKI_P50_20K_50ml+20ml_01.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:Sample
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:ReChar
#DATE/TIME:17.05.2023 12:02
#CORR. FILE:Baseline_20K_TGA_01.ngb-bs3
#TEMPCAL:calib_20Kmin_TGA_20ml+50ml_2022.ngb-ts3
#SENSITIVITY:calib_20Kmin_cp_20ml+50ml_2022.ngb-es3
#LABORATORY:VKI
#OPERATOR:Gertjan
#REMARK:20K/min TGA determination withOUT lid  May 2023.   P50 campaign
#SAMPLE:P50
#SAMPLE MASS /mg:32.966
#MATERIAL:blank
#REFERENCE:empty
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Pt-Rh+Al2O3
#SAMPLE CRUCIBLE MASS /mg:0.0
#REFERENCE CRUCIBLE MASS /mg:297.556
#DSC RANGE /�V:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:27�C....1100�C/0.0....20.0K/min
#SEGMENT:S1-3/3
#SEG. 1:27�C/00:20/27�C
#SEG. 2:27�C/20.0(K/min)/1100�C
#SEG. 3:1100�C/00:20/1100�C

##Temp./�C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
  26.34600; 0.00000; 2.929347e-003;100.00000;20.00000;1.15347;1
  26.35200; 0.00500; 2.889215e-003;100.00000;20.00000;1.15347;1
  26.34300; 0.01000; 2.909285e-003;100.00000;20.00000;1.15347;1
  26.36100; 0.01500; 2.889210e-003;100.00000;20.00000;1.15347;1
  26.36000; 0.02000; 2.909275e-003;100.00000;20.00000;1.15347;1
  26.35100; 0.02500; 2.989536e-003;100.00000;20.00000;1.15347;1
  26.34600; 0.03000; 3.089859e-003;100.00000;20.00000;1.15347;1
  26.34400; 0.03500; 3.049732e-003;100.00000;20.00000;1.15347;1
  26.34100; 0.04000; 2.949414e-003;100.00000;20.00000;1.15347;1
  26.34300; 0.04500; 2.869157e-003;100.00000;20.00000;1.15347;1
  26.34700; 0.05000; 2.869154e-003;100.00000;20.00000;1.15347;1
  26.35600; 0.05500; 2.909277e-003;100.00000;20.00000;1.15347;1
  26.35500; 0.06000; 2.909277e-003;100.00000;20.00000;1.15347;1
  26.35300; 0.06500; 2.889215e-003;100.00000;20.00000;1.15347;1
  26.34800; 0.07000; 2.869154e-003;100.00000;20.00000;1.15347;1
  26.35200; 0.07500; 2.849087e-003;100.00000;20.00000;1.15347;1
  26.35300; 0.08000; 2.788895e-003;100.00000;20.00000;1.15347;1
  26.35600; 0.08500; 2.728701e-003;100.00000;20.00000;1.15347;1
  26.34800; 0.09000; 2.648450e-003;100.00000;20.00000;1.15347;1
  26.35300; 0.09500; 2.628383e-003;100.00000;20.00000;1.15347;1
  26.35200; 0.10000; 2.688576e-003;100.00000;20.00000;1.15347;1
  26.35200; 0.10500; 2.728704e-003;100.00000;20.00000;1.15347;1
  26.34600; 0.11000; 2.768835e-003;100.00000;20.00000;1.15347;1
  26.35100; 0.11500; 2.869152e-003;100.00000;20.00000;1.15347;1
  26.35100; 0.12000; 2.869152e-003;100.00000;20.00000;1.15347;1
  26.36400; 0.12500; 2.808953e-003;100.00000;20.00000;1.15348;1
  26.35500; 0.13000; 2.768830e-003;100.00000;20.00000;1.15347;1
  26.36200; 0.13500; 2.708634e-003;100.00000;20.00000;1.15348;1
  26.36400; 0.14000; 2.648442e-003;100.00000;20.00000;1.15348;1
  26.36700; 0.14500; 2.648440e-003;100.00000;20.00000;1.15348;1
  26.36800; 0.15000; 2.648439e-003;100.00000;20.00000;1.15348;1
  26.34800; 0.15500; 2.608322e-003;100.00000;20.00000;1.15347;1
  26.36500; 0.16000; 2.568185e-003;100.00000;20.00000;1.15348;1
  26.36400; 0.16500; 2.568186e-003;100.00000;20.00000;1.15348;1
  26.37000; 0.17000; 2.528055e-003;100.00000;20.00000;1.15348;1
